experiment,pipeline,detector,Gamma,ADD_reset,ADD_warmstart,delta_ADD,se_delta_paired,n_paired,censor_horizon,alarm_time_censored_reset,alarm_time_censored_warmstart,delta_censored,se_delta_censored,n_censored,DetRate_reset,DetRate_warmstart,n_preonset_leak_reset,n_preonset_leak_warmstart
expD,Data,CUSUM,33.666666666666671,2118.975583864119,2111.8959660297241,-7.0796178343949041,1.1306421417359667,942,12000,2692.0749999999998,2685.4059999999999,-6.6689999999999996,1.0663181858495492,1000,0.94199999999999995,0.94199999999999995,0,0
expD,Data,CUSUM,39.111111111111114,2349.0790043290044,2351.2681081081082,-8.2023809523809526,1.3343802119570352,924,12000,3082.549,3074.9229999999998,-7.6260000000000003,1.2354385587443968,1000,0.92400000000000004,0.92500000000000004,0,0
expD,Data,CUSUM,44.555555555555557,2570.7296703296702,2562.343956043956,-8.3857142857142861,1.382205368901902,910,12000,3419.364,3411.7330000000002,-7.6310000000000002,1.2600343350581864,1000,0.91000000000000003,0.91000000000000003,0,0
expD,Data,CUSUM,50,2741.3150837988828,2733.6201117318437,-7.6949720670391057,1.1634097351571586,895,12000,3713.4769999999999,3706.5900000000001,-6.8869999999999996,1.0438620018368707,1000,0.89500000000000002,0.89500000000000002,0,0
expD,Data,CUSUM,60,3098.2022857142856,3091.254857142857,-6.9474285714285715,0.91713668280778338,875,12000,4210.9269999999997,4204.848,-6.0789999999999997,0.8057232458784771,1000,0.875,0.875,0,0
expD,Data,CUSUM,75.555555555555557,3565.2826855123676,3558.1236749116606,-7.159010600706714,0.94943755447418055,849,12000,4838.9250000000002,4832.8469999999998,-6.0780000000000003,0.81007044763411173,1000,0.84899999999999998,0.84899999999999998,0,0
expD,Data,CUSUM,91.111111111111114,3986.7903030303032,3980.1793939393938,-6.6109090909090913,0.92994865664643134,825,12000,5389.1019999999999,5383.6480000000001,-5.4539999999999997,0.77123192535234353,1000,0.82499999999999996,0.82499999999999996,0,0
expD,Data,CUSUM,106.66666666666666,4193.6983523447398,4188.277566539924,-5.420785804816223,0.6764634447326795,789,12000,5840.8280000000004,5836.5510000000004,-4.2770000000000001,0.53822667990258433,1000,0.78900000000000003,0.78900000000000003,0,0
expD,Data,CUSUM,122.22222222222223,4453.0078328981726,4457.5632333767926,-5.1879895561357703,0.67479927877034729,766,12000,6219.0039999999999,6214.951,-4.0529999999999999,0.52682229711045148,1000,0.76600000000000001,0.76700000000000002,0,0
expD,Data,CUSUM,137.77777777777777,4664.5672043010754,4669.5395973154364,-4.780913978494624,0.55938867342794485,744,12000,6542.4380000000001,6538.8069999999998,-3.6309999999999998,0.4271502034370302,1000,0.74399999999999999,0.745,0,0
expD,Data,CUSUM,153.33333333333331,4938.7377049180332,4934.2431693989074,-4.4945355191256828,0.56875863743165012,732,12000,6831.1559999999999,6827.866,-3.29,0.42099303454467646,1000,0.73199999999999998,0.73199999999999998,0,0
expD,Data,CUSUM,168.88888888888889,5150.5223463687153,5146.4483240223462,-4.0740223463687153,0.50475156958735978,716,12000,7095.7740000000003,7092.857,-2.9169999999999998,0.36597547602134362,1000,0.71599999999999997,0.71599999999999997,0,0
expD,Data,CUSUM,184.44444444444446,5315.250716332378,5311.0143266475643,-4.2363896848137532,0.51923411476469672,698,12000,7334.0450000000001,7331.0879999999997,-2.9569999999999999,0.36753534963760054,1000,0.69799999999999995,0.69799999999999995,0,0
expD,Data,CUSUM,200,5517.8527696792999,5523.2780203784569,-4.0058309037900877,0.50670206929948314,686,12000,7553.2470000000003,7550.4920000000002,-2.7549999999999999,0.35247583493654461,1000,0.68600000000000005,0.68700000000000006,0,0
