regime,etf,seed,alpha,beta,gamma_penalty,p_data,p_concept,error_rate,classifier_version
Cal. B,BWX,22,0.055,0.93999999999999995,110.49230769230671,0,0.94122392117379117,0.50337500000000002,0.23.0
Cal. B,BWX,23,0.055,0.93999999999999995,110.49230769230671,0,0.054264725273657111,0.48675000000000002,0.23.0
Cal. B,BWX,24,0.055,0.93999999999999995,110.49230769230671,0,0.079156663204859798,0.51012500000000005,0.23.0
Cal. B,BWX,25,0.055,0.93999999999999995,110.49230769230671,0,0.73781956846860886,0.49762499999999998,0.23.0
Cal. B,BWX,26,0.055,0.93999999999999995,110.49230769230671,0,0.8601945742787227,0.50612500000000005,0.23.0
Cal. B,BWX,27,0.055,0.93999999999999995,110.49230769230671,0,0.20156231619407811,0.50062499999999999,0.23.0
Cal. B,BWX,28,0.055,0.93999999999999995,110.49230769230671,0,0.50299139556273009,0.50324999999999998,0.23.0
Cal. B,BWX,29,0.055,0.93999999999999995,110.49230769230671,0,0.58880841870074963,0.49612499999999998,0.23.0
Cal. B,BWX,30,0.055,0.93999999999999995,110.49230769230671,0,0.40734216450580585,0.49887500000000001,0.23.0
Cal. B,PFF,1,0.062,0.92800000000000005,43.447439353099867,0,0.35722097105980943,0.48199999999999998,0.23.0
Cal. B,PFF,2,0.062,0.92800000000000005,43.447439353099867,0,0.65989763352916042,0.50049999999999994,0.23.0
Cal. B,PFF,3,0.062,0.92800000000000005,43.447439353099867,0,0.8939329416863746,0.496,0.23.0
Cal. B,PFF,4,0.062,0.92800000000000005,43.447439353099867,0,0.15217651741633212,0.49537500000000001,0.23.0
Cal. B,PFF,5,0.062,0.92800000000000005,43.447439353099867,0,0.10203736477024772,0.503,0.23.0
Cal. B,PFF,6,0.062,0.92800000000000005,43.447439353099867,0,0.1848819384304598,0.49787500000000001,0.23.0
Cal. B,PFF,7,0.062,0.92800000000000005,43.447439353099867,0,0.63890213020928199,0.49975000000000003,0.23.0
Cal. B,PFF,8,0.062,0.92800000000000005,43.447439353099867,0,0.82691891207007973,0.49925000000000003,0.23.0
Cal. B,PFF,9,0.062,0.92800000000000005,43.447439353099867,0,0.7780542882009357,0.49975000000000003,0.23.0
Cal. B,PFF,10,0.062,0.92800000000000005,43.447439353099867,0,0.061553519417843684,0.49975000000000003,0.23.0
Cal. B,PFF,11,0.062,0.92800000000000005,43.447439353099867,4.6279470000161546e-257,0.17313239870268529,0.487375,0.23.0
Cal. B,PFF,12,0.062,0.92800000000000005,43.447439353099867,0,0.58108817098171639,0.503,0.23.0
Cal. B,PFF,13,0.062,0.92800000000000005,43.447439353099867,1.5331533780329291e-298,0.7934335791064886,0.50762499999999999,0.23.0
Cal. B,PFF,14,0.062,0.92800000000000005,43.447439353099867,0,0.53091907915247771,0.50549999999999995,0.23.0
Cal. B,PFF,15,0.062,0.92800000000000005,43.447439353099867,0,0.84754048831335804,0.49962499999999999,0.23.0
Cal. B,PFF,16,0.062,0.92800000000000005,43.447439353099867,2.3238442870475044e-150,0.11949616344232337,0.50487499999999996,0.23.0
Cal. B,PFF,17,0.062,0.92800000000000005,43.447439353099867,0,0.25510967769010801,0.49537500000000001,0.23.0
Cal. B,PFF,18,0.062,0.92800000000000005,43.447439353099867,0,0.25731007099519954,0.48899999999999999,0.23.0
