gamma,seed,stream,p_data,p_concept
8.1600000000000001,3962461984,84,1.2427710087433266e-240,0.092423865249128365
8.1600000000000001,2836540812,85,1.2037295844246378e-221,0.90661127298391175
8.1600000000000001,3295974432,86,1.0261841773661764e-118,0.60242464607038637
8.1600000000000001,2806968966,87,0,0.49399925869700767
8.1600000000000001,57438789,88,0,0.46861209282924454
8.1600000000000001,1913022098,89,1.2492082120109704e-267,0.68389230855392003
8.1600000000000001,3441028943,90,1.8924813992890495e-148,0.66257788496758097
8.1600000000000001,2018683442,91,5.6329097469250756e-218,0.067546941405544847
8.1600000000000001,1035584060,92,7.7410431216486248e-163,0.28728467583574602
8.1600000000000001,2389181935,93,0,0.54763005962957734
8.1600000000000001,3743519948,94,4.0766915383984756e-221,0.15339447025095387
8.1600000000000001,1959908187,95,0,0.72023117553678573
8.1600000000000001,4075696824,96,0,0.30452097590791427
8.1600000000000001,2022979354,97,2.7984807229515235e-188,0.26771185036151229
8.1600000000000001,518316817,98,0,0.18258904665476991
8.1600000000000001,3578244831,99,1.3655285505356241e-160,0.048671013010015134
8.1600000000000001,1723599922,100,6.7568104214659824e-187,0.80347564613960809
11.58,3777992781,1,4.0418701270505745e-255,0.63985935030373842
11.58,3737804449,2,0,0.65422330056335487
11.58,3842911699,3,0,0.86454881084198543
11.58,367247180,4,5.813754340239905e-163,0.5543783905809414
11.58,4218303343,5,1.2079223616049292e-206,0.50316803745050431
11.58,1901934066,6,0,0.73369795793146741
11.58,2044921496,7,0,0.81590953351643869
11.58,1862165964,8,2.3100385872408695e-165,0.4339607020595268
11.58,592901384,9,0,0.35222049105317765
11.58,4117467077,10,0,0.68459590822426553
11.58,3650491009,11,0,0.14564849564881799
11.58,1295624948,12,0,0.56835505712244272
11.58,2547649164,13,0,0.78666389053128516
11.58,3258318610,14,1.0527694945675711e-183,0.76041336290298911
11.58,3806300504,15,0,0.1632488219592291
11.58,1074011832,16,0,0.22646692376142019
11.58,2451766400,17,0,0.10073076033205554
11.58,2124929896,18,2.8593849692424512e-103,0.25017545549564113
