gamma,seed,p_data,p_concept
5,15,1.7740081988371067e-142,0.22474614937603918
5,16,2.8219713029121467e-171,0.15875549944403539
5,17,2.5453810849700991e-266,0.45481211638530161
5,18,0,0.46135725774867686
5,19,0,0.35285634649597469
5,20,2.1540270116122762e-232,0.4002928260878853
5,21,1.3104981710488577e-185,0.79786506567709581
5,22,1.9536824973220143e-222,0.87907443886999836
5,23,5.0089941716477559e-160,0.78571166884797272
5,24,7.6182378424257254e-128,0.15027656942772089
5,25,5.8004313190761755e-239,0.69737667489242594
5,26,8.7491384819008528e-182,0.64793476385564108
5,27,8.8246549542570032e-125,0.41267127698608203
5,28,1.3662681847061787e-182,0.88612102393996461
5,29,1.1321403026023736e-115,0.9265744947263379
5,30,1.4869123574568925e-162,0.8038578408306476
5,31,0,0.27156391123281592
5,32,7.2963096973777905e-210,0.31289239412371017
5,33,6.0238459678459987e-74,0.70435398305635899
5,34,2.195460378257721e-172,0.94567282739744296
5,35,3.4661274959578235e-173,0.59140310770979287
5,36,1.1458619218204496e-73,0.78901898488617817
5,37,1.2755599806774113e-252,0.088869101975904113
5,38,7.6313866339515644e-258,0.53230322577496092
5,39,1.5615328924099215e-241,0.56500747301973309
5,40,5.0684004118837346e-258,0.25888172551441252
5,41,7.3549201810317505e-128,0.032639562979991654
5,42,2.9161412220009867e-217,0.13190999394420916
5,43,9.4439029134498269e-133,0.25456725676934738
5,44,9.5281067231885587e-94,0.63278528240429943
5,45,4.0293448400531237e-116,0.33117732369049724
5,46,8.2230483544572039e-157,0.86909575916535109
5,47,9.0961030507324557e-132,0.6350144821979935
5,48,0,0.093271422902437326
5,49,7.5529348085968567e-145,0.36173728387851212
5,50,1.0857528112298333e-42,0.80743789107909592
5,51,1.9305525372557157e-147,0.56375135590234016
5,52,4.8106894724343346e-108,0.78734710108693362
5,53,2.3087801785811125e-84,0.27590085840287648
5,54,3.1968964141805207e-197,0.78853737912139643
5,55,1.4796188777429369e-188,0.39062539914002103
5,56,1.2493610996341021e-152,0.54630848173007196
5,57,2.6928076145549115e-277,0.73093031240811079
5,58,2.4329589112101453e-145,0.25627284041788806
5,59,1.6191138806035154e-179,0.16300422198327147
5,60,4.8614958150695982e-188,0.079472284439296909
5,61,2.2985182628814717e-153,0.74275285838194427
5,62,5.1517012752350255e-114,0.093460546067836339
5,63,2.7652762245801791e-192,0.5611935190219588
5,64,3.8888976993734227e-309,0.66238252216190485
5,65,1.2926979556940075e-157,0.52247189452691634
5,66,1.1915576370091292e-132,0.12119429964613264
5,67,2.9967816725595219e-111,0.21699736257359786
5,68,8.223155733205927e-137,0.49536150045188787
5,69,5.5206299481621664e-75,0.77893301711187213
5,70,7.1089384750466889e-151,0.85920824256143735
5,71,5.1076106542416449e-67,0.50053886843509843
5,72,1.027743726091236e-120,0.55305228482045832
5,73,4.4016067300628779e-83,0.90175547655558497
5,74,8.6793188716323247e-208,0.049512362864424848
5,75,4.9428964542938974e-145,0.59424469137429659
5,76,2.7501783310074972e-92,0.98275145864628888
5,77,1.0541865965122435e-170,0.57390631125997227
5,78,2.1312689458307571e-142,0.16921756231203142
5,79,1.1356694733913315e-109,0.2282401257342167
5,80,0,0.24058595367527097
5,81,3.6502147334989951e-124,0.38406487942092554
5,82,0,0.77898648817491256
5,83,4.37059265901074e-219,0.63976015840120137
5,84,6.5589516282295519e-175,0.63383468113651742
